,Average_RMSE_50,Average_R2_50,Average_RMSE_100,Average_R2_100,Average_RMSE_150,Average_R2_150,Average_RMSE_200,Average_R2_200,Average_Runtime
OLS,14.77567700567165,0.3049928757877241,42990719605774.18,-5.541206332336003e+24,24889176315309.816,-2.6366348406646964e+24,56.59619626734529,-5.2984130066512245,0.10784264373925631
Lasso,12.564473073927688,0.44363442719006807,12.806275129825835,0.47748015875862837,13.985891618149058,0.5069522205733189,13.559032854631823,0.5350419810263087,79.9628502259902
Ridge,12.480974484257757,0.462090885728352,13.067967199998225,0.45711508093539377,15.139106422894864,0.4814155738776752,15.177806095645597,0.42878380713342656,0.9709030060075519
